owner	kind	row	column	value	lineage
fiber_0	realizer_support	12	-	4:1:1	1711186366924054097
fiber_0	realizer_13	0	-	0	1711186366924054098
fiber_0	realizer_13	1	-	0	1711186366924054098
fiber_0	realizer_13	2	-	1	1711186366924054098
fiber_0	realizer_13	3	-	0	1711186366924054098
fiber_0	realizer_13	4	-	1	1711186366924054098
fiber_0	realizer_13	5	-	-1	1711186366924054098
fiber_0	realizer_13	6	-	0	1711186366924054098
fiber_0	realizer_support	13	-	52:0:1	1711186366924054098
fiber_0	realizer_14	0	-	0	1711186366924054099
fiber_0	realizer_14	1	-	0	1711186366924054099
fiber_0	realizer_14	2	-	1	1711186366924054099
fiber_0	realizer_14	3	-	1	1711186366924054099
fiber_0	realizer_14	4	-	-1	1711186366924054099
fiber_0	realizer_14	5	-	0	1711186366924054099
fiber_0	realizer_14	6	-	0	1711186366924054099
fiber_0	realizer_support	14	-	28:0:1	1711186366924054099
fiber_0	realizer_15	0	-	0	1711186366924054100
fiber_0	realizer_15	1	-	0	1711186366924054100
fiber_0	realizer_15	2	-	1	1711186366924054100
fiber_0	realizer_15	3	-	1	1711186366924054100
fiber_0	realizer_15	4	-	0	1711186366924054100
fiber_0	realizer_15	5	-	-1	1711186366924054100
fiber_0	realizer_15	6	-	0	1711186366924054100
fiber_0	realizer_support	15	-	44:0:1	1711186366924054100
fiber_1	summary	0	0	2187:16:4:0:0	1711186366924054085
fiber_1	target	0	-	1/2	1711186366924054085
fiber_1	target	1	-	1/2	1711186366924054085
fiber_1	target	2	-	0/2	1711186366924054085
fiber_1	target	3	-	1/2	1711186366924054085
fiber_1	target	4	-	-1/2	1711186366924054085
fiber_1	target	5	-	0/2	1711186366924054085
fiber_1	realizer_0	0	-	0	1711186366924054086
fiber_1	realizer_0	1	-	0	1711186366924054086
fiber_1	realizer_0	2	-	-1	1711186366924054086
fiber_1	realizer_0	3	-	0	1711186366924054086
fiber_1	realizer_0	4	-	1	1711186366924054086
fiber_1	realizer_0	5	-	1	1711186366924054086
fiber_1	realizer_0	6	-	0	1711186366924054086
fiber_1	realizer_support	0	-	52:0:0	1711186366924054086
fiber_1	realizer_1	0	-	0	1711186366924054087
fiber_1	realizer_1	1	-	0	1711186366924054087
fiber_1	realizer_1	2	-	-1	1711186366924054087
fiber_1	realizer_1	3	-	1	1711186366924054087
fiber_1	realizer_1	4	-	0	1711186366924054087
fiber_1	realizer_1	5	-	1	1711186366924054087
fiber_1	realizer_1	6	-	0	1711186366924054087
fiber_1	realizer_support	1	-	44:0:0	1711186366924054087
fiber_1	realizer_2	0	-	0	1711186366924054088
fiber_1	realizer_2	1	-	0	1711186366924054088
fiber_1	realizer_2	2	-	-1	1711186366924054088
fiber_1	realizer_2	3	-	1	1711186366924054088
fiber_1	realizer_2	4	-	1	1711186366924054088
fiber_1	realizer_2	5	-	0	1711186366924054088
fiber_1	realizer_2	6	-	0	1711186366924054088
fiber_1	realizer_support	2	-	28:0:0	1711186366924054088
fiber_1	realizer_3	0	-	0	1711186366924054089
fiber_1	realizer_3	1	-	0	1711186366924054089
fiber_1	realizer_3	2	-	0	1711186366924054089
fiber_1	realizer_3	3	-	-1	1711186366924054089
fiber_1	realizer_3	4	-	1	1711186366924054089
fiber_1	realizer_3	5	-	1	1711186366924054089
fiber_1	realizer_3	6	-	0	1711186366924054089
fiber_1	realizer_support	3	-	56:0:0	1711186366924054089
fiber_1	realizer_4	0	-	0	1711186366924054090
fiber_1	realizer_4	1	-	0	1711186366924054090
fiber_1	realizer_4	2	-	0	1711186366924054090
fiber_1	realizer_4	3	-	0	1711186366924054090
fiber_1	realizer_4	4	-	0	1711186366924054090
fiber_1	realizer_4	5	-	1	1711186366924054090
fiber_1	realizer_4	6	-	0	1711186366924054090
fiber_1	realizer_support	4	-	32:1:0	1711186366924054090
fiber_1	realizer_5	0	-	0	1711186366924054091
fiber_1	realizer_5	1	-	0	1711186366924054091
fiber_1	realizer_5	2	-	0	1711186366924054091
fiber_1	realizer_5	3	-	0	1711186366924054091
fiber_1	realizer_5	4	-	1	1711186366924054091
fiber_1	realizer_5	5	-	0	1711186366924054091
fiber_1	realizer_5	6	-	0	1711186366924054091
fiber_1	realizer_support	5	-	16:1:0	1711186366924054091
fiber_1	realizer_6	0	-	0	1711186366924054092
fiber_1	realizer_6	1	-	0	1711186366924054092
fiber_1	realizer_6	2	-	0	1711186366924054092
fiber_1	realizer_6	3	-	1	1711186366924054092
fiber_1	realizer_6	4	-	-1	1711186366924054092
fiber_1	realizer_6	5	-	1	1711186366924054092
fiber_1	realizer_6	6	-	0	1711186366924054092
fiber_1	realizer_support	6	-	56:0:0	1711186366924054092
fiber_1	realizer_7	0	-	0	1711186366924054093
fiber_1	realizer_7	1	-	0	1711186366924054093
fiber_1	realizer_7	2	-	0	1711186366924054093
fiber_1	realizer_7	3	-	1	1711186366924054093
fiber_1	realizer_7	4	-	0	1711186366924054093
fiber_1	realizer_7	5	-	0	1711186366924054093
fiber_1	realizer_7	6	-	0	1711186366924054093
fiber_1	realizer_support	7	-	8:1:0	1711186366924054093
fiber_1	realizer_8	0	-	0	1711186366924054094
fiber_1	realizer_8	1	-	0	1711186366924054094
fiber_1	realizer_8	2	-	0	1711186366924054094
fiber_1	realizer_8	3	-	1	1711186366924054094
fiber_1	realizer_8	4	-	1	1711186366924054094
fiber_1	realizer_8	5	-	-1	1711186366924054094
fiber_1	realizer_8	6	-	0	1711186366924054094
fiber_1	realizer_support	8	-	56:0:0	1711186366924054094
fiber_1	realizer_9	0	-	0	1711186366924054095
fiber_1	realizer_9	1	-	0	1711186366924054095
fiber_1	realizer_9	2	-	1	1711186366924054095
fiber_1	realizer_9	3	-	-1	1711186366924054095
fiber_1	realizer_9	4	-	0	1711186366924054095
fiber_1	realizer_9	5	-	1	1711186366924054095
fiber_1	realizer_9	6	-	0	1711186366924054095
fiber_1	realizer_support	9	-	44:0:0	1711186366924054095
fiber_1	realizer_10	0	-	0	1711186366924054096
fiber_1	realizer_10	1	-	0	1711186366924054096
fiber_1	realizer_10	2	-	1	1711186366924054096
fiber_1	realizer_10	3	-	-1	1711186366924054096
fiber_1	realizer_10	4	-	1	1711186366924054096
fiber_1	realizer_10	5	-	0	1711186366924054096
fiber_1	realizer_10	6	-	0	1711186366924054096
fiber_1	realizer_support	10	-	28:0:0	1711186366924054096
fiber_1	realizer_11	0	-	0	1711186366924054097
fiber_1	realizer_11	1	-	0	1711186366924054097
fiber_1	realizer_11	2	-	1	1711186366924054097
fiber_1	realizer_11	3	-	0	1711186366924054097
