kind	head	detail	form	witness
transport	hζ.integralPowerBasis.gen	symmetry 0 substitution 0 arity 0	hζ.integralPowerBasis.gen  = hζ.toInteger 	
transport	hζ.integralPowerBasisOfPrimePow.dim	symmetry 0 substitution 0 arity 0	hζ.integralPowerBasisOfPrimePow.dim  = φ x0	
transport	hζ.integralPowerBasisOfPrimePow.gen	symmetry 0 substitution 0 arity 0	hζ.integralPowerBasisOfPrimePow.gen  = hζ.toInteger 	
transport	hζ.toInteger.1	symmetry 0 substitution 0 arity 0	hζ.toInteger.1  = ζ 	
transport	hμ.autToPow	symmetry 0 substitution 0 arity 0	hμ.autToPow x0 x1 = modularCyclotomicCharacter x2 x3 x1	
transport	i	symmetry 0 substitution 0 arity 0	i  = j 	
transport	id	symmetry 0 substitution 0 arity 0	id x0 = x 	
transport	image	symmetry 0 substitution 0 arity 0	image x0 x1 = n.divisors 	
transport	inertiaDeg	symmetry 0 substitution 3 arity 0	inertiaDeg x0 x1 = 0 	
transport	inertiaDeg	symmetry 0 substitution 3 arity 0	inertiaDeg x0 x1 = 1 	
transport	inertiaDeg	symmetry 0 substitution 3 arity 0	inertiaDeg x0 x1 = finrank x2 x3	
transport	inertiaDeg	symmetry 0 substitution 3 arity 0	inertiaDeg x0 x1 = inertiaDeg x0 x2	
transport	inertiaDeg	symmetry 0 substitution 3 arity 0	inertiaDeg x0 x1 = natDegree x2	
transport	inertiaDeg	symmetry 0 substitution 3 arity 0	inertiaDeg x0 x1 = orderOf x2	
transport	inertiaDegIn	symmetry 0 substitution 0 arity 0	inertiaDegIn x0 x1 = inertiaDeg x0 x2	
transport	inftyValuation	symmetry 0 substitution 0 arity 0	inftyValuation x0 x1 = 1 	
transport	inftyValuation	symmetry 0 substitution 0 arity 0	inftyValuation x0 x1 = exp x2	
transport	inftyValuation	symmetry 0 substitution 0 arity 0	inftyValuation x0 x1 = inftyValuationDef x0 x1	
transport	inftyValuationDef	symmetry 0 substitution 0 arity 0	inftyValuationDef x0 x1 = 0 	
transport	inftyValuationDef	symmetry 0 substitution 0 arity 0	inftyValuationDef x0 x1 = 1 	
transport	inftyValuationDef	symmetry 0 substitution 0 arity 0	inftyValuationDef x0 x1 = exp x2	
transport	insert	symmetry 0 substitution 0 arity 0	insert x0 x1 = divisors x0	
transport	intEquiv	symmetry 0 substitution 0 arity 0	intEquiv x0 x1 = ringOfIntegersEquiv x1	
transport	intNorm	symmetry 0 substitution 0 arity 0	intNorm x0 x1 = mixedEmbedding.norm x2	
transport	integralBasis	symmetry 0 substitution 0 arity 0	integralBasis x0 x1 = algebraMap x2 x0 x3	
transport	jacobiSum	symmetry 1 substitution 0 arity 0	jacobiSum x0 x1 = f x2	
transport	jacobiSum	symmetry 1 substitution 0 arity 0	jacobiSum x0 x1 = jacobiSum x1 x0	
transport	jacobiSym	symmetry 0 substitution 0 arity 0	jacobiSym  = fastJacobiSym 	
transport	jacobiTheta	symmetry 0 substitution 2 arity 0	jacobiTheta x0 = jacobiTheta x1	
transport	jacobiTheta	symmetry 0 substitution 2 arity 0	jacobiTheta x0 = jacobiTheta₂ x1 x0	
transport	jacobiTheta₂	symmetry 0 substitution 3 arity 0	jacobiTheta₂ x0 x1 = 0 	
transport	jacobiTheta₂	symmetry 0 substitution 3 arity 0	jacobiTheta₂ x0 x1 = jacobiTheta₂ x0 x2	
transport	jacobiTheta₂	symmetry 0 substitution 3 arity 0	jacobiTheta₂ x0 x1 = jacobiTheta₂ x2 x1	
transport	jacobiTheta₂_fderiv	symmetry 0 substitution 0 arity 0	jacobiTheta₂_fderiv x0 x1 = 0 	
transport	legendreSym	symmetry 1 substitution 1 arity 0	legendreSym  = fastLegendreSym 	
transport	legendreSym	symmetry 1 substitution 1 arity 0	legendreSym x0 x1 = 0 	
transport	legendreSym	symmetry 1 substitution 1 arity 0	legendreSym x0 x1 = 1 	
transport	legendreSym	symmetry 1 substitution 1 arity 0	legendreSym x0 x1 = J x2	
transport	legendreSym	symmetry 1 substitution 1 arity 0	legendreSym x0 x1 = legendreSym x0 x2	
transport	legendreSym	symmetry 1 substitution 1 arity 0	legendreSym x0 x1 = legendreSym x1 x0	
transport	legendreSym	symmetry 1 substitution 1 arity 0	legendreSym x0 x1 = χ₄ x0	
transport	legendreSym	symmetry 1 substitution 1 arity 0	legendreSym x0 x1 = χ₈ x0	
transport	lift	symmetry 0 substitution 0 arity 0	lift x0 = g 	
transport	lift	symmetry 0 substitution 0 arity 0	lift x0 x1 = z 	
transport	lift	symmetry 0 substitution 0 arity 0	lift x0 x1 x2 = φ x3	
transport	limNthHom	symmetry 0 substitution 0 arity 0	limNthHom x0 x1 = 0 	
transport	limNthHom	symmetry 0 substitution 0 arity 0	limNthHom x0 x1 = 1 	
transport	log	symmetry 0 substitution 0 arity 0	log x0 = Real.log x0	
transport	logEmbedding	symmetry 0 substitution 0 arity 0	logEmbedding x0 x1 = basisUnitLattice x0 x2	
transport	logEmbeddingEquiv	symmetry 0 substitution 0 arity 0	logEmbeddingEquiv x0 x1 = logEmbedding x0 x2	
transport	logEmbeddingQuot	symmetry 0 substitution 0 arity 0	logEmbeddingQuot x0 x1 = logEmbedding x0 x2	
transport	logHeight	symmetry 0 substitution 1 arity 0	logHeight x0 = log x1	
transport	logHeight	symmetry 0 substitution 1 arity 0	logHeight x0 = logHeight x1	
transport	logHeight₁	symmetry 0 substitution 1 arity 0	logHeight₁ x0 = 0 	
